LLIW,SubjVertMo,LoLevMoistAd,N0_7muVerMo,WndHodograph,MorningBound,LIfr12ZDENSd,IRCloudCover,Date,QGVertMotion,SatContMoist,AMInstabMt,MorningCIN,RaoContMoist,AMDewptCalPl,VISCloudCov,LatestCIN,CurPropConv,CombVerMo,InsChange,Boundaries,OutflowFrMt,CldShadeConv,AMInsWliScen,CombClouds,Scenario,CombMoisture,InsInMt,AMCINInScen,PlainsFcst,AreaMeso_ALS,InsSclInScen,CompPlFcst,CldShadeOth,MeanRH,WindFieldMt,SynForcng,ScenRel3_4,WindAloft,ScenRelAMIns,Dewpoints,LowLLapse,MvmtFeatures,SfcWndShfDis,RHRatio,MidLLapse,ScnRelPlFcst,WindFieldPln,ScenRelAMCIN,TempDis,AreaMoDryAir,MountainFcst,CapInScen,N34StarFcst,CapChange,R5Fcst
Unfavorable,Neutral,Neutral,WeakUp,StrongWest,None,N1GtLIGt_4,PC,Jun15_Jul1,StrongUp,Neutral,None,Stifling,Wet,Neutral,Clear,None,None,WeakUp,LittleChange,None,Weak,None,LessUnstable,Clear,J,Wet,None,Average,NIL,WeakUp,LessUnstable,IncCapDecIns,PC,Dry,LVorOther,LittleChange,GJ,LV,CDEJ,LowAtStation,ModerateOrLe,NoMajor,None,MoistMDryL,Steep,J,LV,CThruK,Other,VeryWet,NIL,Average,NIL,Increasing,NIL
Moderate,Down,Negative,Neutral,DCVZFavor,None,N5GtLIGt_8,Clear,May15_Jun14,Neutral,Neutral,Weak,PartInhibit,Dry,Stability,Clear,None,Slight,Neutral,Decreasing,Strong,Strong,None,MoreUnstable,Clear,G,Neutral,Strong,Average,SVR,Neutral,Average,IncCapDecIns,Clear,Dry,Westerly,LittleChange,GJ,AllElse,G,LowSHighN,CloseToDryAd,NoMajor,None,Other,CloseToDryAd,G,WidespdDnsl,CThruK,None,Neutral,SIG,Average,SVR,Increasing,SVR
Moderate,Neutral,Neutral,Neutral,DCVZFavor,None,N1GtLIGt_4,Clear,Aug20_Sep15,Neutral,Neutral,Weak,PartInhibit,Dry,,PC,PartInhibit,Slight,Neutral,Decreasing,Strong,Weak,Some,Average,PC,E,Dry,Strong,Average,NIL,Neutral,LessUnstable,IncCapDecIns,PC,Average,LVorOther,SigNegative,ACEFK,SWQuad,CDEJ,HighEvrywher,ModerateOrLe,StrongFront,None,MoistMDryL,ModerateOrLe,E,LV,CThruK,None,Dry,SVR,Average,NIL,Increasing,SVR
Weak,Neutral,Negative,WeakUp,Other,Weak,N5GtLIGt_8,Clear,May15_Jun14,Neutral,Neutral,Weak,TotalInhibit,Wet,Instability,PC,TotalInhibit,None,WeakUp,LittleChange,Weak,None,Some,MoreUnstable,PC,G,Wet,Strong,MoreThanAve,NIL,WeakUp,MoreUnstable,DecCapIncIns,Cloudy,Dry,Westerly,NegToPos,GJ,NWQuad,G,LowEvrywhere,CloseToDryAd,MarkedUpper,None,MoistMDryL,CloseToDryAd,G,LV,CThruK,None,VeryWet,SIG,MoreThanAve,SIG,Decreasing,SIG
Moderate,,,StrongUp,Other,Strong,N1GtLIGt_4,Clear,May15_Jun14,Neutral,Neutral,Weak,PartInhibit,Neutral,Instability,Clear,PartInhibit,Slight,Neutral,Increasing,Strong,None,None,Average,Clear,K,Neutral,Strong,Average,SVR,Neutral,MoreUnstable,IncCapDecIns,Clear,Average,Westerly,SigNegative,ACEFK,AllElse,K,LowNHighS,Steep,MarkedUpper,MovingFtorOt,MoistMDryL,Steep,K,WidespdDnsl,CThruK,None,Neutral,SIG,Average,SVR,Increasing,SVR
Moderate,Neutral,Neutral,WeakUp,Other,None,N1GtLIGt_4,PC,Jul16_Aug10,Neutral,VeryWet,Weak,TotalInhibit,Wet,Stability,Clear,PartInhibit,Slight,Neutral,LittleChange,Weak,None,Some,Average,Clear,B,VeryWet,Strong,MoreThanAve,SVR,Neutral,LessUnstable,LittleChange,Clear,VeryMoist,Westerly,PosToNeg,B,AllElse,ABI,LowNHighS,Steep,NoMajor,E_W_N,DryMMoistL,Steep,B,SEQuad,AB,QStationary,VeryWet,SIG,MoreThanAve,SVR,LittleChange,SVR
Strong,Neutral,Neutral,StrongUp,StrongWest,Weak,LILt_8,Clear,May15_Jun14,Neutral,Dry,Weak,Stifling,Dry,Instability,PC,PartInhibit,Moderate,WeakUp,Decreasing,Weak,None,None,MoreUnstable,Clear,D,Wet,Strong,Average,NIL,WeakUp,Average,DecCapIncIns,Clear,Dry,Westerly,PosToNeg,D,SWQuad,CDEJ,LowEvrywhere,Steep,OtherRapid,DryLine,MoistMDryL,Steep,D,WidespdDnsl,CThruK,Other,VeryWet,NIL,Average,NIL,Decreasing,NIL
Unfavorable,Neutral,Neutral,WeakUp,DCVZFavor,Strong,LILt_8,Clear,Jul2_Jul15,Neutral,Wet,Strong,PartInhibit,Wet,Neutral,Clear,Stifling,None,Neutral,Decreasing,Strong,Weak,None,MoreUnstable,Clear,B,Neutral,Strong,Average,NIL,Neutral,Average,IncCapDecIns,Clear,Average,LVorOther,LittleChange,B,SWQuad,ABI,LowAtStation,Stable,NoMajor,DenvCyclone,Other,Steep,B,DenvCyclone,AB,Other,Neutral,SVR,Average,NIL,Increasing,SVR
Unfavorable,StronUp,Neutral,WeakUp,Westerly,None,N1GtLIGt_4,Cloudy,Jul16_Aug10,Neutral,Dry,Weak,PartInhibit,Dry,Instability,PC,None,None,WeakUp,Decreasing,Weak,None,Marked,MoreUnstable,PC,E,Neutral,Strong,Average,NIL,WeakUp,Average,IncCapDecIns,Cloudy,Average,LVorOther,SigPositive,ACEFK,SWQuad,CDEJ,LowEvrywhere,ModerateOrLe,NoMajor,DryLine,MoistMDryL,Steep,E,LongAnticyc,CThruK,None,Wet,SIG,Average,NIL,Increasing,SIG
Moderate,Down,Neutral,StrongUp,StrongWest,Weak,N1GtLIGt_4,PC,May15_Jun14,Down,Dry,None,PartInhibit,Wet,Stability,PC,PartInhibit,Slight,Down,LittleChange,Strong,Weak,None,Average,PC,D,Neutral,None,LessThanAve,SVR,Down,Average,LittleChange,PC,Average,LVorOther,PosToNeg,D,NWQuad,CDEJ,LowAtStation,CloseToDryAd,StrongFront,DryLine,Other,CloseToDryAd,D,DenvCyclone,CThruK,None,Neutral,NIL,LessThanAve,SVR,LittleChange,SVR
Strong,Down,Negative,WeakUp,Westerly,None,N5GtLIGt_8,Clear,Jul16_Aug10,StrongUp,Dry,None,Stifling,VeryWet,Stability,Clear,PartInhibit,Strong,Neutral,Decreasing,Weak,None,None,MoreUnstable,,C,Wet,None,Average,SIG,Neutral,MoreUnstable,DecCapIncIns,Clear,Dry,Westerly,LittleChange,ACEFK,NWQuad,CDEJ,LowEvrywhere,Steep,NoMajor,None,MoistMDryL,CloseToDryAd,C,WidespdDnsl,CThruK,Other,Wet,NIL,Average,SIG,Decreasing,SIG
Moderate,StronUp,WeakPos,Down,Westerly,None,LIGt0,Clear,May15_Jun14,Neutral,Dry,Weak,Stifling,Neutral,Neutral,PC,PartInhibit,Slight,Neutral,Increasing,Weak,None,None,MoreUnstable,Clear,I,Wet,Strong,MoreThanAve,NIL,Neutral,MoreUnstable,LittleChange,Clear,VeryMoist,LVorOther,NegToPos,HI,SWQuad,ABI,LowSHighN,ModerateOrLe,NoMajor,MovingFtorOt,DryMMoistL,ModerateOrLe,I,SEQuad,CThruK,Moving,Neutral,SVR,MoreThanAve,NIL,LittleChange,SVR
Unfavorable,Neutral,Negative,Neutral,Other,Weak,N5GtLIGt_8,PC,Jun15_Jul1,WeakUp,Dry,Strong,PartInhibit,Neutral,Stability,PC,None,Slight,Neutral,LittleChange,None,None,Some,Average,Cloudy,E,Dry,Strong,LessThanAve,SVR,Neutral,Average,IncCapDecIns,Cloudy,Average,Westerly,NegToPos,ACEFK,AllElse,CDEJ,Other,ModerateOrLe,NoMajor,None,MoistMDryL,Steep,E,SEQuad,CThruK,None,Dry,SIG,LessThanAve,SVR,Increasing,SVR
Strong,Neutral,Neutral,WeakUp,StrongWest,None,N5GtLIGt_8,PC,Jul16_Aug10,Down,Neutral,None,Stifling,VeryWet,Instability,Cloudy,PartInhibit,Moderate,WeakUp,LittleChange,None,Strong,None,MoreUnstable,Cloudy,I,VeryWet,None,Average,SVR,WeakUp,MoreUnstable,IncCapDecIns,Cloudy,Dry,Westerly,SigPositive,HI,SWQuad,ABI,LowSHighN,ModerateOrLe,OtherRapid,E_W_S,Other,ModerateOrLe,I,DenvCyclone,CThruK,Moving,Wet,NIL,Average,SVR,Increasing,SVR
Moderate,StronUp,WeakPos,StrongUp,Other,Weak,N1GtLIGt_4,Clear,Jun15_Jul1,Neutral,Neutral,None,PartInhibit,VeryWet,Stability,PC,None,Strong,WeakUp,Increasing,,None,Some,MoreUnstable,Clear,F,VeryWet,None,LessThanAve,SIG,WeakUp,MoreUnstable,LittleChange,PC,VeryMoist,LVorOther,LittleChange,ACEFK,AllElse,F,HighEvrywher,ModerateOrLe,NoMajor,Other,Other,ModerateOrLe,F,LV,CThruK,None,VeryWet,NIL,,SIG,LittleChange,SIG
Moderate,Neutral,Neutral,Down,Other,None,N1GtLIGt_4,Cloudy,May15_Jun14,Neutral,VeryWet,Weak,Stifling,Neutral,Instability,PC,PartInhibit,None,Neutral,Decreasing,Weak,None,Some,Average,PC,J,VeryWet,Strong,Average,NIL,Neutral,LessUnstable,DecCapIncIns,PC,Dry,LVorOther,SigPositive,GJ,LV,CDEJ,LowAtStation,Steep,NoMajor,DryLine,MoistMDryL,ModerateOrLe,J,SEQuad,CThruK,None,VeryWet,NIL,Average,NIL,Decreasing,NIL
Weak,Neutral,WeakPos,WeakUp,Other,None,LILt_8,Cloudy,May15_Jun14,WeakUp,Wet,None,None,Neutral,Neutral,PC,PartInhibit,None,Neutral,Decreasing,Weak,None,Some,MoreUnstable,Cloudy,A,Neutral,None,LessThanAve,SIG,Neutral,MoreUnstable,DecCapIncIns,Cloudy,Average,Westerly,SigNegative,ACEFK,SWQuad,ABI,LowNHighS,ModerateOrLe,OtherRapid,DenvCyclone,Other,Steep,A,DenvCyclone,AB,Other,Wet,NIL,LessThanAve,SIG,Decreasing,SIG
Moderate,StronUp,Neutral,WeakUp,Westerly,Weak,N1GtLIGt_4,Clear,Jul16_Aug10,StrongUp,Neutral,Weak,PartInhibit,Dry,Neutral,Clear,None,Slight,StrongUp,Decreasing,Weak,None,Marked,LessUnstable,Clear,E,Neutral,Strong,MoreThanAve,SVR,StrongUp,LessUnstable,DecCapIncIns,PC,Average,Westerly,PosToNeg,ACEFK,AllElse,CDEJ,Other,Steep,OtherRapid,None,MoistMDryL,Steep,E,WidespdDnsl,CThruK,None,Wet,SIG,MoreThanAve,SVR,Decreasing,SVR
Weak,WeakUp,Neutral,Neutral,Other,Weak,N5GtLIGt_8,PC,Jun15_Jul1,WeakUp,Neutral,Strong,None,Neutral,Neutral,PC,None,Moderate,WeakUp,LittleChange,None,None,None,MoreUnstable,Clear,G,Neutral,Strong,LessThanAve,SIG,WeakUp,MoreUnstable,IncCapDecIns,Clear,Dry,LVorOther,PosToNeg,GJ,SWQuad,G,LowEvrywhere,CloseToDryAd,NoMajor,DryLine,MoistMDryL,CloseToDryAd,G,LV,CThruK,None,Neutral,SIG,LessThanAve,SIG,Increasing,SIG
Weak,Neutral,Neutral,StrongUp,Other,Weak,N1GtLIGt_4,Cloudy,Jul2_Jul15,Neutral,Wet,Weak,PartInhibit,Wet,Instability,PC,PartInhibit,None,Neutral,Decreasing,Weak,None,Some,Average,PC,E,Neutral,Strong,LessThanAve,NIL,Neutral,LessUnstable,LittleChange,Cloudy,Dry,Westerly,SigNegative,ACEFK,SWQuad,CDEJ,LowSHighN,Steep,NoMajor,DryLine,MoistMDryL,ModerateOrLe,E,WidespdDnsl,CThruK,None,Neutral,NIL,LessThanAve,NIL,LittleChange,NIL
Moderate,Neutral,Negative,Down,DCVZFavor,Weak,N1GtLIGt_4,PC,May15_Jun14,Neutral,Dry,Strong,PartInhibit,Wet,Instability,Clear,None,Moderate,Neutral,LittleChange,Weak,Weak,None,Average,Clear,C,VeryWet,Strong,MoreThanAve,NIL,Neutral,Average,LittleChange,Clear,Average,Westerly,LittleChange,ACEFK,AllElse,CDEJ,LowAtStation,Steep,OtherRapid,MovingFtorOt,MoistMDryL,Steep,C,LongAnticyc,CThruK,QStationary,VeryWet,SVR,MoreThanAve,NIL,LittleChange,
Moderate,Neutral,StrongPos,WeakUp,Westerly,Weak,LIGt0,Cloudy,May15_Jun14,Neutral,Dry,Weak,PartInhibit,Neutral,Stability,Clear,None,Strong,WeakUp,Increasing,Weak,None,None,LessUnstable,Clear,I,Dry,Strong,Average,SIG,WeakUp,LessUnstable,DecCapIncIns,Clear,VeryMoist,LVorOther,NegToPos,HI,LV,ABI,LowSHighN,Steep,NoMajor,Other,DryMMoistL,ModerateOrLe,I,LV,CThruK,QStationary,Dry,SIG,Average,SIG,Decreasing,SIG
Moderate,WeakUp,WeakPos,Neutral,DCVZFavor,Weak,N1GtLIGt_4,PC,May15_Jun14,Neutral,VeryWet,Strong,PartInhibit,Neutral,Stability,Clear,PartInhibit,Moderate,Neutral,Decreasing,Weak,Weak,Some,Average,Clear,G,,Strong,Average,NIL,Neutral,LessUnstable,LittleChange,Clear,Dry,Westerly,PosToNeg,GJ,AllElse,G,LowAtStation,CloseToDryAd,NoMajor,E_W_N,MoistMDryL,CloseToDryAd,G,LongAnticyc,CThruK,None,Wet,SIG,Average,NIL,LittleChange,SIG
Moderate,StronUp,WeakPos,StrongUp,DCVZFavor,None,N1GtLIGt_4,Clear,Aug11_Aug20,StrongUp,Neutral,Weak,Stifling,Dry,Stability,Clear,PartInhibit,Moderate,StrongUp,Decreasing,Weak,Weak,None,LessUnstable,Clear,A,Neutral,Strong,Average,NIL,StrongUp,LessUnstable,DecCapIncIns,Clear,Average,Westerly,SigNegative,ACEFK,AllElse,ABI,LowSHighN,Steep,MarkedUpper,None,Other,Steep,A,DenvCyclone,AB,Other,VeryWet,SVR,Average,NIL,Decreasing,SVR
Moderate,Neutral,,WeakUp,Other,Strong,N5GtLIGt_8,Cloudy,Jul2_Jul15,Down,Neutral,Strong,Stifling,Wet,Stability,PC,None,Strong,Neutral,Increasing,Strong,None,None,Average,PC,B,Neutral,Strong,Average,SIG,Neutral,MoreUnstable,IncCapDecIns,PC,Average,LVorOther,SigNegative,B,NWQuad,ABI,LowSHighN,Stable,NoMajor,E_W_S,Other,CloseToDryAd,B,DenvCyclone,AB,Other,Neutral,SIG,Average,SIG,Increasing,SIG
Moderate,Down,Negative,StrongUp,Westerly,None,N1GtLIGt_4,PC,May15_Jun14,StrongUp,Dry,Weak,PartInhibit,Wet,Instability,Clear,None,Moderate,StrongUp,LittleChange,Weak,None,None,MoreUnstable,Clear,K,VeryWet,Strong,Average,SVR,StrongUp,MoreUnstable,DecCapIncIns,Clear,Dry,LVorOther,SigPositive,ACEFK,AllElse,K,HighEvrywher,CloseToDryAd,MarkedUpper,None,DryMMoistL,ModerateOrLe,K,LongAnticyc,CThruK,None,VeryWet,SVR,Average,SVR,Decreasing,SVR
Strong,Neutral,Negative,StrongUp,Other,Weak,N1GtLIGt_4,PC,Jun15_Jul1,Neutral,VeryWet,None,PartInhibit,Neutral,Stability,Clear,None,Strong,WeakUp,Decreasing,None,None,Some,MoreUnstable,Clear,B,Neutral,None,Average,SIG,WeakUp,MoreUnstable,IncCapDecIns,Clear,Average,Westerly,PosToNeg,B,NWQuad,ABI,LowMtsHighPl,Steep,NoMajor,DenvCyclone,DryMMoistL,ModerateOrLe,B,DenvCyclone,AB,QStationary,Neutral,NIL,Average,NIL,Increasing,NIL
Moderate,Neutral,Neutral,Down,,None,N5GtLIGt_8,Cloudy,Aug20_Sep15,Neutral,Wet,Strong,None,Neutral,Neutral,PC,None,Strong,Neutral,LittleChange,Weak,None,Marked,MoreUnstable,Cloudy,J,Dry,Strong,LessThanAve,SIG,Neutral,MoreUnstable,IncCapDecIns,Cloudy,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowSHighN,Stable,NoMajor,DryLine,MoistMDryL,Steep,J,SEQuad,CThruK,None,Neutral,SIG,LessThanAve,SIG,Increasing,SIG
Weak,Neutral,WeakPos,WeakUp,StrongWest,None,N5GtLIGt_8,Clear,Jul2_Jul15,StrongUp,Neutral,Weak,PartInhibit,Wet,Instability,Cloudy,None,Slight,Neutral,Increasing,None,None,None,MoreUnstable,Cloudy,J,Neutral,Strong,LessThanAve,SVR,Neutral,MoreUnstable,IncCapDecIns,Cloudy,,LVorOther,LittleChange,GJ,LV,CDEJ,LowMtsHighPl,ModerateOrLe,NoMajor,E_W_N,DryMMoistL,ModerateOrLe,J,LV,CThruK,Other,Neutral,SIG,LessThanAve,SVR,Increasing,SVR
Strong,Down,Negative,WeakUp,DCVZFavor,None,N1GtLIGt_4,PC,Jul2_Jul15,Neutral,VeryWet,,Stifling,Neutral,Stability,PC,PartInhibit,Strong,Neutral,LittleChange,Strong,Weak,None,MoreUnstable,PC,J,Wet,Strong,MoreThanAve,SIG,Neutral,Average,IncCapDecIns,PC,Average,LVorOther,PosToNeg,GJ,AllElse,CDEJ,LowMtsHighPl,ModerateOrLe,NoMajor,None,MoistMDryL,ModerateOrLe,J,LV,CThruK,QStationary,Wet,SVR,MoreThanAve,SIG,Increasing,SVR
Unfavorable,Neutral,Neutral,Down,Other,Weak,N5GtLIGt_8,PC,Aug20_Sep15,WeakUp,VeryWet,None,PartInhibit,VeryWet,Instability,PC,None,None,WeakUp,Decreasing,Weak,None,None,MoreUnstable,PC,I,VeryWet,None,LessThanAve,NIL,WeakUp,MoreUnstable,DecCapIncIns,Cloudy,Average,LVorOther,SigNegative,HI,AllElse,ABI,Other,ModerateOrLe,MarkedUpper,E_W_S,MoistMDryL,ModerateOrLe,I,SEQuad,CThruK,QStationary,VeryWet,NIL,LessThanAve,NIL,Decreasing,NIL
Weak,Neutral,StrongPos,Neutral,DCVZFavor,None,N5GtLIGt_8,Clear,Aug20_Sep15,Down,Dry,Strong,TotalInhibit,Neutral,Instability,Clear,None,Slight,Neutral,Increasing,Weak,Weak,None,MoreUnstable,Clear,E,Wet,Strong,MoreThanAve,NIL,Neutral,MoreUnstable,LittleChange,Clear,Average,Westerly,SigNegative,ACEFK,SWQuad,CDEJ,LowNHighS,CloseToDryAd,NoMajor,E_W_N,Other,ModerateOrLe,E,WidespdDnsl,CThruK,None,Wet,SVR,MoreThanAve,NIL,LittleChange,SVR
Moderate,StronUp,StrongPos,WeakUp,Other,Weak,N1GtLIGt_4,Clear,Aug11_Aug20,StrongUp,Neutral,None,PartInhibit,Wet,Stability,PC,PartInhibit,Slight,StrongUp,Increasing,None,None,None,LessUnstable,Cloudy,K,Neutral,None,Average,SVR,StrongUp,LessUnstable,LittleChange,Cloudy,Dry,LVorOther,PosToNeg,ACEFK,AllElse,K,Other,ModerateOrLe,MarkedUpper,E_W_S,MoistMDryL,CloseToDryAd,K,DenvCyclone,CThruK,Moving,Neutral,NIL,Average,SVR,LittleChange,SVR
Moderate,Down,WeakPos,Neutral,StrongWest,Strong,LIGt0,Clear,Aug11_Aug20,Neutral,Dry,Strong,PartInhibit,Neutral,Stability,Clear,PartInhibit,Slight,Neutral,Decreasing,None,Weak,None,LessUnstable,Clear,E,Dry,Strong,LessThanAve,NIL,Neutral,LessUnstable,IncCapDecIns,Clear,Average,LVorOther,LittleChange,ACEFK,SWQuad,CDEJ,LowSHighN,Steep,OtherRapid,DenvCyclone,MoistMDryL,ModerateOrLe,E,WidespdDnsl,CThruK,None,Dry,SIG,LessThanAve,NIL,Increasing,SIG
Strong,Neutral,Negative,Down,Westerly,Strong,N1GtLIGt_4,Clear,Aug20_Sep15,StrongUp,VeryWet,Strong,PartInhibit,Neutral,Stability,Clear,TotalInhibit,Slight,WeakUp,LittleChange,None,None,None,LessUnstable,Clear,I,Wet,Strong,Average,NIL,WeakUp,LessUnstable,IncCapDecIns,Clear,Average,LVorOther,PosToNeg,HI,SWQuad,ABI,LowSHighN,ModerateOrLe,NoMajor,MovingFtorOt,Other,ModerateOrLe,I,DenvCyclone,CThruK,Moving,Wet,SVR,Average,NIL,Increasing,SVR
Strong,WeakUp,Neutral,StrongUp,DCVZFavor,Strong,N1GtLIGt_4,Clear,Jun15_Jul1,Neutral,Neutral,Weak,PartInhibit,Neutral,Instability,PC,PartInhibit,Strong,Neutral,Decreasing,Weak,Weak,None,MoreUnstable,Clear,D,Wet,Strong,Average,SIG,Neutral,MoreUnstable,LittleChange,Clear,Average,LVorOther,SigPositive,D,AllElse,CDEJ,,Steep,NoMajor,E_W_N,DryMMoistL,Steep,D,SEQuad,CThruK,None,Wet,SVR,Average,SIG,LittleChange,SVR
Moderate,WeakUp,StrongPos,Neutral,Westerly,Weak,N1GtLIGt_4,Clear,Jul2_Jul15,WeakUp,VeryWet,None,PartInhibit,Dry,Neutral,PC,PartInhibit,Strong,WeakUp,Decreasing,Weak,None,None,Average,Clear,D,Dry,None,Average,SIG,WeakUp,Average,LittleChange,PC,Dry,LVorOther,SigNegative,D,NWQuad,CDEJ,LowAtStation,Steep,OtherRapid,DryLine,DryMMoistL,ModerateOrLe,D,DenvCyclone,CThruK,None,Dry,NIL,Average,SIG,LittleChange,SIG
Unfavorable,Neutral,StrongPos,Neutral,DCVZFavor,None,,PC,May15_Jun14,Neutral,Neutral,None,PartInhibit,Neutral,Stability,PC,PartInhibit,None,Neutral,LittleChange,Strong,Weak,None,MoreUnstable,Clear,J,Neutral,None,Average,SIG,Neutral,MoreUnstable,IncCapDecIns,PC,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowMtsHighPl,ModerateOrLe,NoMajor,E_W_N,DryMMoistL,Steep,J,DenvCyclone,CThruK,,Neutral,NIL,Average,SIG,Increasing,SIG
Moderate,WeakUp,Negative,Down,StrongWest,None,N5GtLIGt_8,Clear,Aug20_Sep15,StrongUp,Neutral,Strong,PartInhibit,Neutral,Neutral,PC,Stifling,Slight,Neutral,Increasing,None,Weak,None,MoreUnstable,PC,E,Neutral,Strong,Average,SVR,Neutral,MoreUnstable,IncCapDecIns,PC,Average,LVorOther,LittleChange,ACEFK,SWQuad,CDEJ,LowSHighN,Steep,OtherRapid,E_W_N,MoistMDryL,ModerateOrLe,E,WidespdDnsl,CThruK,Other,Neutral,SIG,Average,SVR,Increasing,SVR
Moderate,StronUp,Negative,WeakUp,StrongWest,None,N1GtLIGt_4,PC,Jul2_Jul15,Neutral,Dry,Weak,Stifling,Neutral,Neutral,PC,PartInhibit,None,WeakUp,LittleChange,None,Strong,None,LessUnstable,Clear,E,Neutral,Strong,Average,NIL,WeakUp,LessUnstable,IncCapDecIns,Clear,Average,Westerly,SigPositive,ACEFK,SWQuad,CDEJ,LowAtStation,Steep,OtherRapid,Other,MoistMDryL,Steep,E,LV,CThruK,None,Neutral,SVR,Average,NIL,Increasing,SVR
Strong,Neutral,Neutral,Neutral,Other,Weak,N5GtLIGt_8,PC,Jul16_Aug10,StrongUp,VeryWet,Weak,PartInhibit,Dry,Instability,PC,PartInhibit,Moderate,Neutral,LittleChange,Weak,None,Some,Average,Clear,J,Dry,Strong,Average,NIL,Neutral,MoreUnstable,LittleChange,PC,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowAtStation,CloseToDryAd,NoMajor,DryLine,MoistMDryL,CloseToDryAd,J,SEQuad,CThruK,QStationary,Dry,SIG,Average,NIL,LittleChange,SIG
Strong,StronUp,WeakPos,StrongUp,Westerly,Weak,N1GtLIGt_4,Cloudy,Jul16_Aug10,Neutral,Dry,None,PartInhibit,Dry,Stability,PC,TotalInhibit,None,StrongUp,Increasing,Weak,None,Marked,LessUnstable,Cloudy,E,Neutral,None,Average,NIL,StrongUp,MoreUnstable,DecCapIncIns,Cloudy,Dry,LVorOther,LittleChange,ACEFK,SWQuad,CDEJ,LowNHighS,Steep,NoMajor,,MoistMDryL,ModerateOrLe,E,WidespdDnsl,CThruK,None,VeryWet,NIL,Average,NIL,Decreasing,NIL
Strong,Neutral,Negative,StrongUp,StrongWest,None,N1GtLIGt_4,Clear,Aug20_Sep15,Neutral,Dry,Weak,PartInhibit,Neutral,Stability,Cloudy,PartInhibit,None,WeakUp,Increasing,None,None,None,LessUnstable,Cloudy,E,Dry,Strong,Average,NIL,WeakUp,LessUnstable,IncCapDecIns,Cloudy,Average,LVorOther,LittleChange,ACEFK,SWQuad,CDEJ,LowSHighN,Stable,NoMajor,DryLine,MoistMDryL,ModerateOrLe,E,E_NE,CThruK,None,Dry,SIG,Average,NIL,Increasing,SIG
Moderate,Down,WeakPos,Down,StrongWest,Weak,N1GtLIGt_4,PC,Jun15_Jul1,Neutral,VeryWet,Strong,Stifling,Neutral,Stability,Clear,Stifling,Slight,Down,Decreasing,Weak,Strong,None,LessUnstable,Clear,H,VeryWet,Strong,Average,NIL,Down,LessUnstable,IncCapDecIns,Clear,Average,LVorOther,SigPositive,HI,NWQuad,H,HighEvrywher,ModerateOrLe,MarkedUpper,None,DryMMoistL,ModerateOrLe,H,LongAnticyc,CThruK,None,Wet,NIL,Average,NIL,Increasing,NIL
Weak,Neutral,Negative,StrongUp,Westerly,None,N1GtLIGt_4,PC,Jul16_Aug10,Neutral,Neutral,None,None,Wet,Instability,Clear,PartInhibit,None,WeakUp,LittleChange,Weak,None,Marked,MoreUnstable,Clear,B,Neutral,None,LessThanAve,NIL,WeakUp,MoreUnstable,LittleChange,PC,VeryMoist,Westerly,LittleChange,B,AllElse,ABI,HighEvrywher,ModerateOrLe,NoMajor,DenvCyclone,MoistMDryL,Steep,B,SEQuad,AB,Other,Dry,NIL,LessThanAve,NIL,LittleChange,NIL
Moderate,StronUp,Neutral,WeakUp,StrongWest,None,N5GtLIGt_8,Clear,Jul16_Aug10,Down,Neutral,Strong,PartInhibit,Neutral,Instability,PC,None,Moderate,WeakUp,Decreasing,None,Weak,None,MoreUnstable,Clear,C,Wet,Strong,LessThanAve,SVR,WeakUp,Average,IncCapDecIns,PC,Average,LVorOther,NegToPos,ACEFK,AllElse,CDEJ,Other,CloseToDryAd,OtherRapid,E_W_N,DryMMoistL,CloseToDryAd,C,LongAnticyc,CThruK,Other,Wet,SIG,LessThanAve,SVR,Increasing,SVR
Moderate,Neutral,StrongPos,WeakUp,Westerly,None,N5GtLIGt_8,Clear,May15_Jun14,WeakUp,Dry,Weak,TotalInhibit,Neutral,Stability,PC,None,Strong,Neutral,Decreasing,Weak,None,None,Average,Clear,H,Dry,Strong,MoreThanAve,SIG,Neutral,Average,DecCapIncIns,Clear,Dry,Westerly,SigNegative,HI,NWQuad,H,LowMtsHighPl,Stable,MarkedUpper,None,Other,ModerateOrLe,H,E_NE,CThruK,None,Dry,SIG,MoreThanAve,SIG,Decreasing,SIG
Weak,Down,WeakPos,WeakUp,DCVZFavor,None,N5GtLIGt_8,PC,Aug20_Sep15,StrongUp,Neutral,Strong,None,Wet,Instability,Clear,Stifling,None,Down,Increasing,None,Weak,Marked,Average,Clear,C,Wet,Strong,LessThanAve,SIG,Down,Average,IncCapDecIns,Clear,Dry,LVorOther,SigPositive,ACEFK,NWQuad,CDEJ,Other,Steep,StrongFront,E_W_N,DryMMoistL,Steep,C,LongAnticyc,CThruK,None,VeryWet,SIG,LessThanAve,SIG,Increasing,SIG
